Year,University,Teacher_Age,Teacher_Sex,Teacher_Experience_Global,Teacher_Experience_Specific,Discipline,Course,Level,Format,Day,Time,N_Hours,Class_Size,Age,Sex,Grade,Q1_Difficulty,Q2_Interest,Q3_Teaching,Q4_Interest_Generation,Q5_Speech_Unclarity,Q6_Adaptation,Q7_Examination,Q8_Mastery,Q9_Motivation,Q10_Methods,Q11_Interactivity,Q12_Availability,Q13_Satisfaction,Comment
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,30,F,17.0,1,2,4,4,1,3,5.0,5,2,5,5,5,2,
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,22,F,13.5,2,3,5,5,1,4,5.0,5,5,4,5,5,5,
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,19,H,14.5,2,5,5,4,2,3,4.0,4,4,5,5,4,5,
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,23,H,18.0,2,4,5,5,1,3,3.0,4,5,4,5,5,5,
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,20,H,18.5,2,5,5,5,1,4,5.0,5,4,4,3,4,5,Enseignant d'un fort sympatique. Original dans ces cours et DAR.
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,19,F,13.0,1,4,5,5,2,4,2.0,5,5,3,5,5,5,Je regrette le fait que l'on ait eu aussi peu de cours. J'aime apprendre des choses qui me servent au quotidien.
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,19,F,14.0,3,3,5,5,2,2,3.0,5,4,5,4,5,4,
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,19,F,18.0,1,4,5,4,1,4,5.0,4,4,5,4,5,5,Merci pour le blagues dans les DAR c''était nul mais drôle.
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,18,F,16.25,2,3,4,4,3,3,4.0,4,3,4,4,4,4,
2017,Paris Descartes,25,M,3,3,Psychology,Diff,L1,TD,Tuesday,08:30:00,16,18,20,F,8.0,3,2,4,4,3,1,3.0,4,2,4,4,4,3,
